player,role,amount,team,year,player_origin,amount_log,amount_scaled,year_scaled,role_encoded,team_encoded,origin_encoded,amount_normalized
Adam Milne,Bowler,32000000,Mumbai Indians,2021,Overseas,17.281246492014,0.9596695026861171,1.0435940630825098,18284883.720930234,16299065.420560747,26280014.124293786,0.8103825823032591
Adam Milne,Bowler,19000000,Chennai Super Kings,2022,Overseas,16.759949589762293,0.5814940008987018,1.381247912712276,18284883.720930234,17787650.60240964,26280014.124293786,0.6884892644840188
Adam Zampa,Bowler,3000000,Rising Pune Supergiant,2016,Overseas,14.914123179965662,-0.7575631193760233,-0.6446751850663216,18284883.720930234,11740740.74074074,26280014.124293786,0.2568851167581414
Aditya Garhwal,All-Rounder,2500000,Kolkata Knight Riders,2015,Indian,14.731801689838349,-0.8898284766373137,-0.9823290346960878,19833904.10958904,18454439.25233645,14959009.74025974,0.21425342022326488
Aditya Tare,All-Rounder,16000000,Mumbai Indians,2014,Indian,16.588099342704055,0.4568250202605616,-1.319982884325854,19833904.10958904,16299065.420560747,14959009.74025974,0.6483060278457349
Aditya Tare,Wicket Keeper,12000000,Sunrisers Hyderabad,2016,Indian,16.300417291085605,0.24812570945301407,-0.6446751850663216,18055555.555555556,19513392.85714286,14959009.74025974,0.5810381818306305
Aditya Tare,Wicket Keeper,2500000,Delhi Daredevils,2017,Indian,14.731801689838349,-0.8898284766373137,-0.3070213354365553,18055555.555555556,20617647.05882353,14959009.74025974,0.21425342022326488
Aditya Tare,Wicket Keeper,2000000,Mumbai Indians,2018,Indian,14.508658238524095,-1.0517081776423227,0.030632514193211002,18055555.555555556,16299065.420560747,14959009.74025974,0.162076444851182
Agnivesh Ayachi,All-Rounder,2000000,Kings XI Punjab,2019,Indian,14.508658238524095,-1.0517081776423227,0.3682863638229773,19833904.10958904,21982142.85714286,14959009.74025974,0.162076444851182
Aiden Blizzard,Batsman,3000000,Mumbai Indians,2015,Overseas,14.914123179965662,-0.7575631193760233,-0.9823290346960878,19669590.643274855,16299065.420560747,26280014.124293786,0.2568851167581414
Aiden Markram,Batsman,26000000,Sunrisers Hyderabad,2022,Overseas,17.073607134447293,0.8090372662400037,1.381247912712276,19669590.643274855,19513392.85714286,26280014.124293786,0.7618308834645795
Ajantha Mendis,Bowler,54375000,Pune Warriors India,2013,Overseas,17.811415065763928,1.3442809698630096,-1.6576367339556204,18284883.720930234,46875000.0,26280014.124293786,0.9343503369143726
Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018,Indian,17.50439003707821,1.121549271702152,0.030632514193211002,19669590.643274855,17672500.0,14959009.74025974,0.8625595795966183
Ajinkya Rahane,Batsman,10000000,Kolkata Knight Riders,2022,Indian,16.118095750958314,0.11586031591917634,1.381247912712276,19669590.643274855,18454439.25233645,14959009.74025974,0.5384064736044065
Akash Deep,Bowler,2000000,Royal Challengers Bangalore,2022,Indian,14.508658238524095,-1.0517081776423227,1.381247912712276,18284883.720930234,19848913.04347826,14959009.74025974,0.162076444851182
Akash Singh,Bowler,2000000,Rajasthan Royals,2020,Indian,14.508658238524095,-1.0517081776423227,0.7059402134527436,18284883.720930234,17672500.0,14959009.74025974,0.162076444851182
Akash Singh,Bowler,2000000,Rajasthan Royals,2021,Indian,14.508658238524095,-1.0517081776423227,1.0435940630825098,18284883.720930234,17672500.0,14959009.74025974,0.162076444851182
Akhil Arvind Herwadkar,All-Rounder,1000000,Delhi Daredevils,2016,Indian,13.815511557963774,-1.5545523200128677,-0.6446751850663216,19833904.10958904,20617647.05882353,14959009.74025974,0.0
Akila Dananjaya,All-Rounder,1500000,Chennai Super Kings,2013,Overseas,14.220976332738882,-1.2604073826549629,-1.6576367339556204,19833904.10958904,17787650.60240964,26280014.124293786,0.09480863293583308
Akila Dhananjaya,Bowler,5000000,Mumbai Indians,2018,Overseas,15.424948670398354,-0.386984116631616,0.030632514193211002,18284883.720930234,16299065.420560747,26280014.124293786,0.3763299352224885
Akshar Rajesh Patel,All-Rounder,7500000,Kings XI Punjab,2014,Indian,15.830413711839864,-0.09283898582023083,-1.319982884325854,19833904.10958904,21982142.85714286,14959009.74025974,0.47113863051213967
Akshay Karnewar,All-Rounder,1000000,Royal Challengers Bangalore,2016,Indian,13.815511557963774,-1.5545523200128677,-0.6446751850663216,19833904.10958904,19848913.04347826,14959009.74025974,0.0
